price,type,size,bathroom_count,room_count,location,category,log_price
500.0,À Louer,80.0,1.0,2.0,bizerte,Maisons et Villas,2.6989700043360187
3300.0,À Louer,450.0,3.0,5.0,tunis,Maisons et Villas,3.5185139398778875
230000.0,À Vendre,180.0,1.0,3.0,bizerte,Maisons et Villas,5.361727836017593
1000.0,À Louer,115.0,2.0,3.0,tunis,Appartements,3.0
350000.0,À Vendre,120.0,2.0,3.0,tunis,Appartements,5.544068044350276
330000.0,À Vendre,243.0,2.0,2.0,bizerte,Maisons et Villas,5.518513939877887
250000.0,À Vendre,137.0,1.0,4.0,bizerte,Appartements,5.3979400086720375
2200.0,À Louer,240.0,2.0,5.0,tunis,Maisons et Villas,3.342422680822206
190000.0,À Vendre,120.0,1.0,2.0,ariana,Maisons et Villas,5.278753600952829
470000.0,À Vendre,113.0,1.0,3.0,tunis,Maisons et Villas,5.672097857935717
190000.0,À Vendre,75.0,1.0,3.0,bizerte,Appartements,5.278753600952829
3700.0,À Louer,161.0,1.0,4.0,tunis,Bureaux et Plateaux,3.568201724066995
98000.0,À Vendre,115.0,2.0,3.0,sousse,Appartements,4.991226075692495
240000.0,À Vendre,100.0,1.0,2.0,nabeul,Appartements,5.380211241711606
135000.0,À Vendre,80.0,1.0,2.0,tunis,Appartements,5.1303337684950066
260000.0,À Vendre,103.0,1.0,2.0,ben arous,Maisons et Villas,5.414973347970818
2990.0,À Louer,138.0,1.0,4.0,tunis,Bureaux et Plateaux,3.4756711883244296
1480000.0,À Vendre,465.0,3.0,4.0,ariana,Maisons et Villas,6.1702617153949575
850000.0,À Vendre,416.0,1.0,6.0,ariana,Maisons et Villas,5.929418925714293
640000.0,À Vendre,411.0,2.0,3.0,ariana,Maisons et Villas,5.8061799739838875
950.0,À Louer,150.0,2.0,4.0,tunis,Locations de vacances,2.9777236052888476
320000.0,À Vendre,106.0,2.0,4.0,ariana,Appartements,5.505149978319906
650.0,À Louer,70.0,1.0,1.0,bizerte,Locations de vacances,2.8129133566428557
650000.0,À Vendre,498.0,2.0,7.0,ben arous,Maisons et Villas,5.812913356642856
1000.0,À Louer,137.0,1.0,3.0,tunis,Appartements,3.0
350000.0,À Vendre,250.0,3.0,3.0,nabeul,Maisons et Villas,5.544068044350276
1250.0,À Louer,90.0,1.0,2.0,tunis,Appartements,3.0969100130080562
600.0,À Louer,100.0,1.0,2.0,bizerte,Locations de vacances,2.7781512503836434
1000.0,À Louer,95.0,2.0,2.0,sousse,Appartements,3.0
1589.0,À Louer,116.0,2.0,3.0,tunis,Appartements,3.2011238972073794
550.0,À Louer,80.0,1.0,1.0,ben arous,Maisons et Villas,2.7403626894942437
4800.0,À Louer,500.0,2.0,4.0,ariana,Maisons et Villas,3.681241237375587
16400.0,À Louer,984.0,8.0,4.0,tunis,Bureaux et Plateaux,4.214843848047698
8200.0,À Louer,492.0,4.0,2.0,tunis,Bureaux et Plateaux,3.9138138523837167
8330.0,À Louer,357.0,4.0,4.0,tunis,Bureaux et Plateaux,3.9206450014067875
3360.0,À Louer,135.0,1.0,5.0,tunis,Bureaux et Plateaux,3.526339277389844
7140.0,À Louer,346.0,5.0,9.0,tunis,Bureaux et Plateaux,3.8536982117761744
1250.0,À Louer,80.0,1.0,2.0,tunis,Appartements,3.0969100130080562
270000.0,À Vendre,122.0,1.0,3.0,tunis,Appartements,5.431363764158987
175000.0,À Vendre,70.0,1.0,2.0,ariana,Appartements,5.243038048686294
530000.0,À Vendre,100.0,2.0,2.0,tunis,Appartements,5.724275869600789
850.0,À Louer,140.0,1.0,2.0,ben arous,Maisons et Villas,2.929418925714293
1600.0,À Louer,90.0,1.0,3.0,tunis,Bureaux et Plateaux,3.2041199826559246
2600.0,À Louer,115.0,1.0,5.0,tunis,Bureaux et Plateaux,3.4149733479708178
1650.0,À Louer,100.0,2.0,4.0,tunis,Bureaux et Plateaux,3.2174839442139063
4000.0,À Louer,320.0,4.0,8.0,tunis,Bureaux et Plateaux,3.6020599913279625
800.0,À Louer,70.0,1.0,1.0,tunis,Appartements,2.9030899869919438
2750.0,À Louer,100.0,2.0,3.0,tunis,Bureaux et Plateaux,3.439332693830263
4500.0,À Louer,130.0,3.0,4.0,tunis,Bureaux et Plateaux,3.6532125137753435
2200.0,À Louer,100.0,2.0,4.0,tunis,Bureaux et Plateaux,3.342422680822206
210000.0,À Vendre,100.0,1.0,2.0,nabeul,Appartements,5.3222192947339195
800000.0,À Vendre,413.0,6.0,8.0,ben arous,Maisons et Villas,5.903089986991944
2500.0,À Louer,110.0,2.0,2.0,tunis,Appartements,3.3979400086720375
1350.0,À Louer,60.0,1.0,2.0,tunis,Bureaux et Plateaux,3.130333768495006
3499.0,À Louer,115.0,2.0,2.0,tunis,Appartements,3.5439439424829065
1350.0,À Louer,110.0,1.0,2.0,ariana,Appartements,3.130333768495006
6000.0,À Louer,260.0,3.0,9.0,tunis,Bureaux et Plateaux,3.7781512503836434
9000.0,À Louer,1200.0,2.0,4.0,ariana,Maisons et Villas,3.9542425094393248
7420.0,À Louer,287.0,5.0,3.0,tunis,Bureaux et Plateaux,3.870403905279027
1650.0,À Louer,150.0,2.0,3.0,tunis,Appartements,3.2174839442139063
175000.0,À Vendre,100.0,1.0,2.0,nabeul,Appartements,5.243038048686294
2300.0,À Louer,70.0,1.0,1.0,tunis,Appartements,3.361727836017593
1250.0,À Louer,120.0,1.0,4.0,ben arous,Maisons et Villas,3.0969100130080562
2200.0,À Louer,160.0,3.0,3.0,tunis,Appartements,3.342422680822206
1550.0,À Louer,110.0,2.0,2.0,tunis,Appartements,3.1903316981702914
920.0,À Louer,91.0,1.0,2.0,ben arous,Appartements,2.963787827345555
1300.0,À Louer,130.0,2.0,3.0,ariana,Appartements,3.113943352306837
1700.0,À Louer,70.0,1.0,3.0,tunis,Bureaux et Plateaux,3.230448921378274
2639.0,À Louer,110.0,2.0,4.0,tunis,Bureaux et Plateaux,3.4214393902200495
100.0,À Louer,150.0,2.0,4.0,tunis,Locations de vacances,2.0
6500.0,À Louer,250.0,2.0,5.0,tunis,Bureaux et Plateaux,3.8129133566428557
252000.0,À Vendre,134.0,1.0,3.0,tunis,Appartements,5.401400540781544
2100.0,À Louer,106.0,2.0,4.0,tunis,Bureaux et Plateaux,3.322219294733919
230000.0,À Vendre,117.0,2.0,2.0,nabeul,Maisons et Villas,5.361727836017593
222000.0,À Vendre,143.0,2.0,3.0,sfax,Appartements,5.346352974450639
1450.0,À Louer,110.0,2.0,2.0,ariana,Appartements,3.161368002234975
135000.0,À Vendre,128.0,1.0,1.0,tunis,Maisons et Villas,5.1303337684950066
4500.0,À Louer,190.0,2.0,5.0,tunis,Bureaux et Plateaux,3.6532125137753435
1100.0,À Louer,70.0,1.0,1.0,ariana,Appartements,3.041392685158225
200000.0,À Vendre,91.0,1.0,1.0,ben arous,Appartements,5.301029995663981
1100.0,À Louer,100.0,2.0,3.0,sousse,Appartements,3.041392685158225
372000.0,À Vendre,140.0,2.0,3.0,sousse,Appartements,5.570542939881897
160000.0,À Vendre,128.0,1.0,3.0,sousse,Maisons et Villas,5.204119982655925
1350000.0,À Vendre,434.0,3.0,5.0,sousse,Maisons et Villas,6.1303337684950066
383000.0,À Vendre,97.0,1.0,2.0,sousse,Appartements,5.583198773968623
800.0,À Louer,60.0,1.0,1.0,ben arous,Bureaux et Plateaux,2.9030899869919438
460000.0,À Vendre,153.0,2.0,3.0,sousse,Appartements,5.662757831681574
245000.0,À Vendre,113.0,2.0,2.0,ben arous,Appartements,5.389166084364533
1200.0,À Louer,130.0,1.0,3.0,ben arous,Appartements,3.0791812460476247
750.0,À Louer,80.0,1.0,2.0,ben arous,Appartements,2.8750612633917
1000.0,À Louer,95.0,1.0,2.0,sousse,Appartements,3.0
550.0,À Louer,90.0,1.0,2.0,sousse,Appartements,2.7403626894942437
128000.0,À Vendre,100.0,1.0,2.0,sousse,Appartements,5.107209969647869
365000.0,À Vendre,92.0,1.0,2.0,sousse,Appartements,5.562292864456475
405000.0,À Vendre,176.0,2.0,4.0,tunis,Appartements,5.607455023214668
1000.0,À Louer,100.0,1.0,2.0,sousse,Maisons et Villas,3.0
327597.0,À Vendre,84.0,1.0,1.0,nabeul,Appartements,5.515339916014476
485000.0,À Vendre,124.0,1.0,2.0,sousse,Appartements,5.685741738602264
750.0,À Louer,70.0,1.0,1.0,sousse,Appartements,2.8750612633917
680000.0,À Vendre,227.0,2.0,4.0,tunis,Maisons et Villas,5.832508912706237
180000.0,À Vendre,70.0,2.0,2.0,tunis,Appartements,5.2552725051033065
1200.0,À Louer,76.0,1.0,1.0,ariana,Appartements,3.0791812460476247
110.0,À Louer,80.0,1.0,1.0,tunis,Appartements,2.041392685158225
1150000.0,À Vendre,450.0,5.0,7.0,tunis,Maisons et Villas,6.060697840353612
1300.0,À Louer,80.0,1.0,2.0,nabeul,Appartements,3.113943352306837
1300.0,À Louer,82.0,1.0,2.0,tunis,Bureaux et Plateaux,3.113943352306837
120.0,À Louer,85.0,1.0,3.0,sousse,Locations de vacances,2.0791812460476247
100.0,À Louer,70.0,1.0,1.0,tunis,Appartements,2.0
100.0,À Louer,120.0,1.0,2.0,tunis,Locations de vacances,2.0
380000.0,À Vendre,218.0,3.0,3.0,bizerte,Maisons et Villas,5.57978359661681
1400.0,À Louer,110.0,2.0,2.0,tunis,Appartements,3.146128035678238
780000.0,À Vendre,200.0,3.0,3.0,ariana,Appartements,5.892094602690481
1450.0,À Louer,120.0,1.0,3.0,ariana,Appartements,3.161368002234975
1550.0,À Louer,220.0,2.0,4.0,ariana,Bureaux et Plateaux,3.1903316981702914
1200.0,À Louer,80.0,1.0,2.0,tunis,Appartements,3.0791812460476247
1100.0,À Louer,120.0,1.0,3.0,tunis,Maisons et Villas,3.041392685158225
395000.0,À Vendre,176.0,3.0,4.0,tunis,Appartements,5.596597095626461
325000.0,À Vendre,110.0,1.0,2.0,ariana,Appartements,5.511883360978874
330000.0,À Vendre,70.0,4.0,3.0,tunis,Maisons et Villas,5.518513939877887
900.0,À Louer,72.0,1.0,1.0,tunis,Appartements,2.9542425094393248
2000.0,À Louer,80.0,1.0,2.0,tunis,Appartements,3.3010299956639813
950.0,À Louer,100.0,1.0,2.0,ariana,Appartements,2.9777236052888476
390000.0,À Vendre,120.0,2.0,2.0,tunis,Appartements,5.5910646070264995
160.0,À Louer,170.0,2.0,3.0,ariana,Appartements,2.2041199826559246
150.0,À Louer,80.0,1.0,1.0,ariana,Appartements,2.1760912590556813
100.0,À Louer,90.0,1.0,1.0,ariana,Appartements,2.0
2500.0,À Louer,200.0,2.0,3.0,nabeul,Maisons et Villas,3.3979400086720375
137998.0,À Vendre,100.0,1.0,2.0,nabeul,Maisons et Villas,5.1398727922327
235000.0,À Vendre,176.0,3.0,4.0,tunis,Appartements,5.371067862271736
279000.0,À Vendre,134.0,2.0,3.0,tunis,Appartements,5.445604203273597
330000.0,À Vendre,220.0,2.0,4.0,ariana,Maisons et Villas,5.518513939877887
360000.0,À Vendre,106.0,2.0,2.0,tunis,Appartements,5.556302500767287
233000.0,À Vendre,83.0,1.0,2.0,tunis,Appartements,5.367355921026019
215000.0,À Vendre,72.0,1.0,1.0,nabeul,Appartements,5.332438459915605
1200.0,À Louer,120.0,2.0,2.0,tunis,Appartements,3.0791812460476247
85000.0,À Vendre,90.0,1.0,2.0,sousse,Appartements,4.929418925714293
330000.0,À Vendre,117.0,2.0,2.0,tunis,Appartements,5.518513939877887
